Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/07/26,UPI-PAYMENT TO VENDOR,0000001729710090,01/07/26,6479.96,,41400.15
02/07/26,SALARY CREDIT,0000001729724262,02/07/26,,50000.00,91400.15
03/07/26,AMAZON.IN ONLINE PURCHASE,0000001729788024,03/07/26,11301.88,,80098.27
04/07/26,ATM WITHDRAWAL,0000001729863182,04/07/26,5000.00,,75098.27
05/07/26,ZOMATO FOOD ORDER,0000618234991197,05/07/26,850.00,,74248.27
06/07/26,NETFLIX SUBSCRIPTION,0000103565154128,06/07/26,199.00,,74049.27
07/07/26,CASH DEPOSIT,0000103565171658,07/07/26,,10000.00,84049.27
08/07/26,UBER RIDE,0000103565259148,08/07/26,350.00,,83699.27
09/07/26,MEDICAL STORE PHARMACY,0000125601916015,09/07/26,1200.00,,82499.27
10/07/26,ELECTRICITY BILL PAYMENT,0000618311510317,10/07/26,2500.00,,79999.27
